video_name,actions
BasementSittingBooth_00142_01,1-100 0 [10 0] walking slowly near a fourseater sofa;101-150 1 [10 0] [5 0] turning slowly around and looking up directly near a fourseater and a table;218-235 2 [10 0] [5 0] turning head head;280-312 3 [10 1] sitting down on the four seater sofa;282-311 3 [10 1] sitting down on the fourseater in the middle facing forward;312-348 seated on the fourseater in the middle; 348-368 thumping hands on the table while being seated in the middle of the sofa;391-441 4 [5 1] reaching for a paper on the table and reading;442-489 4 [5 1] reaching for pen on the table;490-527 5 [5 1] writing on the paper using left hand;622-1102 5 [5 1] writing on the paper using left hand while moving head;1103-1141 6 [10 2] getting up from sitting position on the fourseater while looking down and holding paper and pen in hand; 1142-1175 7 [5 0] holding paper and raising it in the air using and extending the right hand in front;1176-1207 3 [5 0] [10 1] turning corner around the table inside the fourseater and sitting down on the fourseater on the right with head to the back,1211-1415 5 [5 1] writing on paper using left hand on the table,1428-1540 8 [10 1] extending and raising both hands to the side while in seated position, 1541-1570 6 [10 4] standing up from sitting position on the fourseater
BasementSittingBooth_00145_01,95-160 0 [10 3] turning left and walking towards the fourseater sofa;187-280 9 [10 0] [5 0] dancing while standing near the table and front of the fourseater sofa;285-338 3 [10 1] sitting down on the fourseater on the left with face facing forward;360-442 4 [5 1]reaching for paper on the table using right hand;442-525 4 [5 1] reaching for a pen on the table using the left hand;526-549 10 [5 1] putting paper on the table using the right hand;567-580 10 [5 1] putting paper down on the table;581-660 swiping right hand on the table and later both hands;680-838 5 [5 1] writing on paper using left hand;878-892 10 [5 1] putting down pen on the table; 890-942 6 [10 2] standing up from sitting positon in the middle of the fourseater sofa facing forward;943-962 3 [10 1] sitting down on the fourseater sofa,962-1020 11 [10 1] going from sitting down to lying back on the fourseater sofa while head and back are leaning on the back of the fourseater on the right end; 1009-1049 12 [10 1] crossing legs while in lying back position, 1181-1236 13 [10 1] getting up from lying back position;1256-1328 11 [10 1] lying back on the fourseater on the left end with legs in angled position;1329-1350 12 [10 1] crossing legs while in lying back and legs are in angled position;1488-1504 14 [10 1] raising both hand perpendicularly while lying on the sofa;1511-1550 13 [10 1] getting up from lying back position on the fourseater sofa on the left end; 1551-1580 6 [10 2] standing up with right hand leaning on the table in front;1590-1685 15 [10 1] climbing on the fourseater sofa in the middle; 1705-1746 8 [10 1] extending both hands to both sides left and right after climbing the fourseater; 1778-1845 15 [10 1] climbing on top of the fourseater sofa;1859-1908 3 [10 1] sittig down on the fourseater on the left side facing forward;1925-2126 16 [10 1] putting hand on the table while in seated position and resting face on the hand;2167-2182 6 [10 1] getting up from sitting position on the fourseater in the middle
MPH1Library_00034_01, 50-77 1 turning 90 degree around facing front to the left; 127-198 3 [3 1] sitting down on chair placed at the table while facing away from the table and places left hand on table, 200-233 2 [3 1] turning head while in seated position;245-320 4 [3 1] reaching for book on table; 290-320 lifting book off table; 321-577 17 reading book; 430-454 10 [5 1] putting book down on table;610-657 6 [5 1] getting from from sitting position on a chair at the front of the table;680-695 1 turning 90 degree to the from east to north; 700-767 0 [3 0] walking near chair at the table from south to north;776-820 18 [5 1]bending back slightly in order to lean on table and looking down at books on the table; 921-947 19 [5 2]straightening up  from leaning on table;965-1055 3 [3 1] sitting down on a chair on the far north end of the table;1156-1187 4 [5 1] reaching hand for books on table;1227-1264 6 [3 2] getting up from sitting position on chair at the table;1291-1312 1 turing 90 degrees around fro east to north; 1360-1416 0 [5 1] walking and turning corner at the far north end of the table; 1417-1480 3 [3 1] sitting down at the a chair at table at the for north end facing forward with hands placed at table;1470-1496 3 turning head 90 degree to the west; 1497-1509 3 turning head 90 degrees to the east; 1504-1570 leaning back while sitting on a chair; 1573-1668 8 extending and raising both hands to the side;1647-1668 lowering 21 raised hands while in seated position after extending and stretching hands; 1682-1694 2 turning head 90 degrees to the west;1695-1760 6 getting up from sitting position while placing hands on table; 1779-1818 0 [3 1] walking near chairs at the table at the far north end of the table; 1810-1869 1 turning corner at the table at the far north-east side;1870-1909 18 [5 1] placing hands and leaning at table with back bent over; 1943-1965 19 straightening up from leaning on table; 1947-2033 15 [3 1] climbing a chair on the far north end of the table on the side while facing forward; 2055-2120 20 [3 4] climbing down chair; 2135-2153 21 lowering hands that were extended to the sides;2193-2211 turning head 90 degrees to the left while facing forward
MPH8_00034_01, 44-96 1 turning around towards the table; 97-145 0 walking towards the table facing away from the camera; 170-216 26 bending over the table while placing hands on the table; 171-243 19 straightening up from bending position over the table;241-253 1 turning around facing away from the table towards the bed;254-333 3 sitting down on the red two seater sofa with the left hand resting on the sofa arm; 342-12 crossing legs while being seated at the red two seater sofa; 405-452 8 raising left hand to the side and resting it on top of the sofa back;410-526 21 lowering left hand that was resting on the top of the sofa back; 533-569 28 uncrossing legs while being seated on the two seater red sofa; 569-620 6 getting up from sitting position on the red sofa while placing right hand on the table and the sofa arm;666-740 sitting on the arm of the two seater red sofa;739-805 2 turning head to the left and then to the right; 797-827 placing hand on the table while being seated on the arm of the two seater red sofa;808-828 2 turning head again so it is aligned with the body;900-950 0 walking away from two seater red sofa towards the bed;951-1020 3 [11 1] sitting down on the bed;1096-1138 3 [11 1] sitting down on the bed; 1117-1260 pressing buttons on a device placed on the nightstand near the bed while being seated on the bed;1357-1520 11 [11 1] lying down on the bed and then crossing legs; 1570-1640 13 [11 2] getting up from lying position; 1797-1862 14 stretching hands behind the back while being seated in a black chair at the table [3 1] [5 1]; 1923-1960 21 [3 1] [5 1] lowering hands that were stretched behind the back;2130-2196 [10 1] lying down on the red sofa with legs being bent in a triangle; 2285-2363 13 [10 2] getting up from lying position on the red two seater sofa 
MPH8_00168_01, 55-80 2 turning head 90 degrees to the right with face facing forward;  81-140 3 [11 1]sitting down on bed; 250-335 22 reaching for pocket and taking mobile phone out; 336-508 23 using phone; 509-560 6 [11 2] getting up from sitting position on bed; 577-609 0 [11 5] [10 3] walking away from bed after standing up towards the red sofa; 611-650 3 [10 1] sitting down on sofa on its right end;651-748 11 [10 1] going from sitting to lying down on the red sofa; 748-988 in lying position on the sofa;989-1050 14 raising both hands above head in the air and stretching while lying down; 1081-1117 24 lowering hands from upright position above head; 1118-1257 in lying position on the red sofa; 1258-1301 13 [10 2] getting up from lying position on the red sofa to sitting down; 1302-1364 changing positions on sofa by moving slightly to the left; 1477-1506 4 [5 1] placing hands on  table as if reaching for something while in seated position on the red sofa; 1506-1666 25 [5 1] drumming hands on table; 1670-1706 6 [10 2] getting up from sitting position on the red sofa while leaning on table; 1707-1749 18 [5 1] in leaning position on table after getting up from sitting position; 1750-1765 19 [5 2] straightening up from slightly bending position on table; 1765-1800 0 [5 0] walking around the table and reaching a black chair; 1821-1880 3 [3 1] sitting down on black chair at the table with face facing forward; 1881-1994 22 [3 1] reaching inside pocket while sitting down in a chair at the table; 1995-2289 23 [3 1] using phone while sitting down at chair at the table; 2340-2400 6 [3 2] getting up from sitting position at chair at the table; 2580-2727 7 [1 3] extending both hands while standing towards the wall and then placing them on the wall;2780-2890 26 bending slightly towards a small monitor table to pick up something; 2891-2920 2 turning head slightly to face forward and straightening up; 2990-3030 0 walking a small distance toward the camera
MPH11_00034_01, 21-61 2 turning around 90 degrees; 61-93 26 [10 6] bending over the sofa on the left side; 94-114 19 straightening up from bending position over sofa; 120-160 26 [10 6] bending over the sofa in the middle;161-183 19 straightening up from bending position over sofa; 190-203 1 turning around 90 degrees with face facing backward; 204-268 0 [3 3] walking towards black chair at the desk;280-345 3 [3 1] sitting down in office chair at desk; 349-411 7 [5 3] extending right hand while facing backward towards something on the desk;436-464 6 [3 2] getting up from sitting position at office chair;511-533 1 turning around 90 degrees to face forward after inspecting monitor at desk; 534-560 1 turning around about 135 degrees towards chair at desk; 572-686 15 [3 1] climbing office chair followed by desk; 715-730 21 lowering both hands to the side after they were raised to the left and right sides; 747-836 20 [5 4] [3 4] climbing down off the desk towards chair and then floor; 848-870 0 [1 3] walkig straight and then turning towards wall; 870-910 7 [1 3] extending the left hand towards the the right wall;911-970 26 bending down to touch something; 971-1000 19 straightening up from bending position; 1010-1045 0 [10 3] walking in horizontal line towards te sofa; 1046-1100 15 [10 3] climbing on the sofa;1106-1168 27 [10 1] jumping on sofa;1169-1202 20 [10 4] climbing down off the sofa;1203-1260 3 [10 1] sitting down on sofa;1261-1330 12 [10 1]crossing legs while sitting on sofa; 1335-1354 28 [10 1] uncrossing legs while sitting on sofa; 1370-1393 changing position slightly on sofa further away from camera; 1410-1474 12 [10 1] crossing legs while sitting on sofa; 1503-1527 28 [10 1] uncrossing legs while sitting on sofa; 1543-1671 11 [10 1] going from sitting to lying down on sofa; 1772-1830 13 [10 1] getting up from lying position on sofa; 1866-1893 6 [10 2] getting up from sitting position on sofa;1906-1941 0 [10 5] [7 3] walking away from sofa towards small cabinet closer to the camera with face facing forward; 1951-2001 3 [7 1] sitting down on the small cabinet; 2086-2109 6 [7 2] getting up from sitting position on the cabinet;2110-2150 0 [7 5] walking away from the cabinet;2150-2172 1 turning around slightly
MPH11_00150_01, 31-59 2 turning 90 degrees around; 57-88 0 [10 3] walking horizontally towards sofa; 90-140 3 [10 1] sitting down on sofa on the left end closer to camera; 132-172 12 [10 1] crossing legs while sitting on sofa; 158-197 22 [10 1] reaching for phone inside pocket and taking it out; 198-358 23 [10 1] using phone; 334-365 28 [10 1] uncrossing legs while in seated position on sofa; 366-410 6 [10 2] getting up from sitting position on sofa; 412-523 0 [10 5] [3 3] walking away from sofa towards office chair at desk;423-583 3 [3 1] sitting down at office chair; 558-581 4 [5 1] reaching for phone on desk; 583-726 29 speaking on land line phone with head facing backward;746-785 10 [5 1] placing landline phone handle back on desk;832-862 6 [3 2] standing up from sitting position on office chair;900-1060 17 opening and reading book on desk while in standing position and head facing backward;  1099-1126 0 [3 5] [7 3]  walking in straight line away from the chair towards cabinet attached to the desk;1126-1226 30 [7 3] opening cabinet door;1238-1281 31 [7 3] closing cabinet door; 1306-1393 0 [5 0] walking along desk from one end to end and around the office chair; 1389-1409 4 [5 0] reaching for remote control on desk while in standing position;1548-1576 10 [5 0] placing remote control back on the desk while in standing position;1730-1780 3 [3 0] sitting down in office chair on desk with head facing backward; 1810-1859 6 [3 2] getting up from sitting position on office chair; 1880-1905 4 [5 0] reaching for remote control on desk while in standing position; 2065-2094 10 [5 0] placing remote control back on desk while in standing position; 2084-2104 1 turning slightly around; 2113-2185 0 [5 5] walking away from the desk closer towards the camera
MPH11_00151_01, 90-155 3 [10 1] sitting down on sofa; 177-220 6 [10 2] getting up from sitting position on sofa; 230-301 0 walking; 307-368 3 [3 1] sitting down in office chair;420-440 2 [3 1] turning head around to face foward while in sitting position on chair facing backward; 480-501 2 [3 1] turning head around to face backward while in sitting position on chair facing forward;528-562 4 [5 1] reaching for phone on desk while being seated at desk;573-630 29 [5 1] talking using land line phone with head facing backward while sitting on desk;631-675 10 [5 1] putting phone handle back on desk while in seated position on desk;719-749 6 [3 2]getting up from sitting position on office chair;750-773 1 turning around;774-873 0 [5 5] [10 3] walking away from desk towards sofa;904-954 1 [10 0] turning around while standing near sofa;955-970 1 [10 0] turning around while standing near sofa;971-1010 3 [10 1] sitting down on sofa on the far end; 1011-1054 12 crossing legs;1055-1082 28 [10 1] uncrossing legs while being seated on sofa; 1112-1141 12 [5 1] crossing legs while being seated on sofa; 1142-1181 28 [10 1] uncrossing legs while being seated on sofa;1182-1270 11 [10 1] going from sitting to lying down on sofa; 1271-1315 13 [10 2] getting up from lying position on sofa; 1350-1380 6 [10 2] going from sitting position on sofa to standing up; 1383-1434 0 [10 5] walking away from the sofa towards the camera
MPH11_03515_01,40-62 1 turning around by 90 degrees from facing the camera to the side; 63-142 0 [7 3] walking away from the camera towards the cabinet with head facing backward; 141-232 4 [7 1] reaching for something on cabinet shelf while standing with head facing backward;235-311 26 bending slightly downward to look down while in standing position; 312-331 19 straightening up from slightly bending position; 325-342 1 turning slightly around to the left with head facing backward toward camera; 348-373 0 [5 0] [3 3] walking along desk towards the office chair; 389-422 3 [3 1] sitting down in the office chair; 650-697 6 [3 2] standing up from sitting position in the office chair; 701-724 0 [3 3] [5 0] walking for a few steps away from the office chair near the desk; 725-759 1 turning around; 760-830 0 [5 0] [7 3] walking near the desk around the office chair towards the cabinet attached to the desk on the left; 831-877 30 [7 3] opening cabinet door on the left hand side; 877-929 31 [7 3] closing cabinet door on the right hand side; 1056-1111 1 [7 5] turning around and away from the cabinet on the left hand side; 1113-1157 0 [7 5] [10 3] [6 3] walking away from the cabinet towards the sofa and looking at the paintings haned on the left side wall; 1213-1290 3 [10 0] sitting down on sofa on the far end; 1350-1415 6 [10 2] standing up from sitting position on sofa on the far end; 1416-1485 0 [10 5] [5 3] walking away from the sofa with head facing backward towards the desk; 1488-1574 26 [5 3] bending slightly towards the desk on one side; 1575-1651 19 [5 2] straightening up from a slight bending position over the desk;1651-1687 1 turning around towards the camera; 1682-1696 0 [5 5] [1 3] walking away from the desk towards the wall while facing the camera; 1697-1780 26 [2 6] bending down to pick a toolbox off of the floor; 1780-1809 19 [2 2] straightening up from bending position near the wall; 1810-1840 1 [10 3] turning 90 degrees around to walk towards the sofa; 1841-1870 0 [10 3] walking towards the sofa nearer towards the camera
MPH16_00157_01, 108-174 0 walking towards the camera face facing forward; 175-207 1 turning around 180 degrees facing away from the camera;208-266 0 [3 3] [5 3] walking away from the camera head facing backward towards the office chair at the desk; 267-351 3 [3 1]sitting down in the office chair; 417-515 laying head down on desk while being seated in the office chair; 516-550 lifting head off of the table; 560-609 6 [3 2] getting up from sitting position in office chair;623-737 26 [5 6] bending slightly downward to pick up something off of the desk; 738-768 4 [5 1] [2 1] reaching for the phone handle on the desk while in standing position; 769-913 29 [2 1] talking on a landline phone placed on a desk while standing;914-980 10 [5 1] placing phone handle back on the desk while standing;944-989 26 [5 1] bending slightly down to put something down on the desk;990-1010 19 straightening up from bending position while turning around; 1005-1045 1 turning around towards the opposite side; 1048-1061 1 turning head around to face the camera;1062-1121 1 turning around 90 degrees to the left;1137-1200 0 [5 0] [7 3] walking near the desk towards the cabinet on the left; 1201-1272 26 [7 6] bending head over cabinet with right hand placed on the desk; 1273-1302 19 [7 2] straightening up from bending position;1313-1360 0 [5 5] [11 3] walking away from the desk towards the bed;1361-1410 3 [11 1] sitting down on the bed on the far end; 1415-1462 12 [11 1] crossing legs while sitting on the bed; 1463-1494 28 [11 1] uncrossing legs while being seated on the bed; 1495-1570 12 [11 1] crossing legs while sitting on bed on the far end; 1571-1587 28 [11 1] uncrossing legs while being seated on the bed;1590-1622 32 [11 1] folding legs while being seated on the bed; 1623-1647 unfolding legs while being seated on the bed; 1650-1680 6 [5 2] getting up from sitting position on the bed
