video_name,actions
BasementSittingBooth_00142_01,150-230 27 turning head around;280-318 2 going from standing to sitting;377-393 1 extending both hands on table;455-520 4 writing on paper;630-1103 4 writing on paper;1104-1140 5 going from sitting to standing;1140-1184 6 holding and reading papers while standing;184-1210 2 going from standing to sitting;1210-1415 4 writing on paper;1440-1550 1 extending both hands to the side;1544-1575 5 going from sitting to standing
BasementSittingBooth_00145_01,90-162 0 walking;187-280 9 dancing;280-340 2 going from standing to sitting;410-490 10 reaching for something on table taking paper and pen;680-843 4 writing on paper;843-895 11 putting pen down;895-939 5 going from sitting to standing;960-1032 12 going from standing to lying down;1216-1250 13 going from lying down to sitting;1250-1300 12 going from sitting to lying down;1300-1510 12 lying down;1510-1600 13 going from lying down to standing;1600-1771 14 standing up on sofa;1704-1767 1 raising hands;1776-1844 15 climbing down a sofa;1844-1940 2 going from standing to sitting;2150-2171 5 going from sitting to standing
BasementSittingBooth_03452_01,39-95 0 walking;95-160 2 going from standing to sitting;132-219 10 reaching for something on table;219-272 10 reaching for something on table;272-404 19 holding pen;272-404 19 holding paper;404-672 4 writing on paper;672-694 11 putting something on table;694-738 10 reaching for something on table;738-950 4 writing on paper;950-971 11 putting something down on table;971-1890 3 sitting on sofa;1890-1137 12 going from sitting to lying down;1137-1287 12 lying down on sofa;1287-1340 13 going 13 from lying down to sitting;1443-1650 20 changing positions in sofa;1650-1716 5 going from sitting to standing;1716-2372 21 tidying table;2321-2331 10 reaching for something on table;2331-2358 11 putting something on table;1880-1905 10 reaching for something on table;2227-2260 10 reaching for something on table;2090-2118 18 arranging papers
MPH1Library_00034_01,67-121 0 walking;121-205 2 going from standing to sitting;205-324 10 reaching for something on table;324-578 22 reading book;578-603 23 closing book;603-688 5 going from sitting to standing;688-778 0 walking;778-922 24 leaning on table;922-950 7 standing up;950-1062 2 going from standing to sitting down;1157-1210 10 reaching for something on table;1225-1277 5 going from sitting to standing up;1277-1407 0 walking;1407-1482 2 going from standing up to sitting down;1571-1670 25 stretching hands;1691-1760 5 going from sitting to standing;1760-1849 0 walking;1850-1920 24 leaning on table;1920-1960 5 standing up;1920-2105 14 standing on chair;2105-2115 15 getting off of a chair
MPH1Library_00145_01,60-173 0 walking;173-266 2 going from standing to sitting;358-443 10 reaching for something on table;467-524 5 going from sitting to standing;524-601 0 walking;604-716 2 going from standing to sitting;733-760 10 reaching for something on table;894-920 22 opening book;920-956 22 reading book;990-1032 22 reading book;1032-1062 23 closing book;1070-1185 5 going from sitting to standing;1250-1290 0 walking;1334-1412 2 going from standing to sitting;1903-1970 5 going from sitting to standing;2017-2156 0 walking;2172-2282 24 leaning on table;2296-2422 10 reaching for something on table;2360-2421 24 leaning on table;2546-2608 2 going from standing to sitting;2618-2711 26 folding hands;2730-2774 5 going from sitting to standing;2886-2960 2 going from standing to sitting;3023-3064 5 going from sitting to standing;3070-3100 27 turning around;3156-3356 14 standing up on chair;3378-3483 15 getting off of chair
MPH1Library_03301_01,30-82 0 walking;82-138 2 going from standing to sitting;140-158 10 reaching for something on table;163-194 22 opening book;194-305 22 reading book;305-330 23 closing book;328-340 11 putting something on table;505-556 2 going from standing to sitting;578-609 27 turning around;610-649 0 walking;649-730 27 turning around;730-774 2 going from standing to sitting;909-954 28 drumming hands on table;954-990 5 going from sitting to standing;1014-1130 0 walking;1130-1202 2 going from standing to sitting;1345-1410 5 going from sitting to standing;1410-1509 7 standing
MPH8_00168_01,54-90 27 turning around;90-146 2 going from standing to sitting;252-328 31 reaching for something inside picket;330-510 30 using phone;510-555 2 going from sitting to standing;555-603 0 walking;603-658 2 going from standing to sitting;658-770 12 going from sitting to lying down;750-1256 12 lying down;990-1108 25 stretching hands;1256-1311 13 going from lying down to sitting;1311-1380 20 changing positions on sofa;1473-1506 10 reaching for something on table;1507-1670 28 drumming hands on table;1670-1727 2 going from standing to sitting;2781-2824 10 reaching for something;2824-2896 34 pressing button;2890-2927 27 turning around
MPH8_03301_01,13-50 27 turning around;50-76 0 walking;76-162 2 going from standing to sitting;162-400 3 sitting;400-474 5 going from sitting to standing;474-576 0 walking,577-658 2 going from standing to sitting;658-933 sitting ;781-820 28 drumming on table;869-895 28 drumming on table;933-985 going from sitting to standing;982-1010 27 turning around;1010-1056 0 walking;1057-1094 reaching for something;1094-1180 1 using remote control;1113-1167 34 pressing button;1180-1234 11 putting something down on table;1246-1284 reaching for something;1284-1323 1 using remote;1284-1315 34 button;1315-1373 11 putting something on table;1407-1445 0 walking,1446-1500 2 going from standing to sitting;1500-1546 10 reaching for something on table;1535-1576 22 opening book;1575-1627 22 reading book;1628-1652 23 closing book;1652-1682 11 putting something on table;1682-1716 10 reaching for something on table;1716-1819 30 holding phone;1738-1757 10 reaching for something on table;1757-1749 22 opening book;1779-1794 22 reading book;1795-1813 23 closing book;1817-1887 11 putting something down on table;1887-1927 going from sitting to standing up;1906-1948 27 turning around;1950-2115 0 walking
MPH11_00034_01,27-62 27 turning around;60-94 45 bending down;94-117 5 standing up from bending;118-161 45 bending down;161-181 5 standing up from bending;188-205 27 turning around;205-275 0 walking;275-338 2 going from standing to sitting;345-418 10 reaching for something on table;430-460 5 going from sitting to standing;477-515 1 extending hand;515-556 27 turning around;572-691 14 standing up on chair;690-730 1 raising hands up and down;745-850 15 getting off of chair;852-873 0 walking;873-917 1 extending hand;918-928 45 bending down;976-996 5 standing up from bending;1000-1043 0 walking;1043-1100 14 climbing up on sofa/chair;1079-1095 27 turning around;1105-1173 35 jumping;1105-1173 1 raising hands;1174-1206 15 getting off of chair/sofa;1207-1275 2 going from standing to sitting;1264-1344 29 crossing legs;1353-1395 20 chaning positions on sofa;1405-1514 29 crossing legs;1530-1594 12 going from sitting to lying down;1602-1625 29 crossing legs;1625-1791 12 lying down;1784-1835 13 going from lying down to sitting;1835-1896 5 going from sitting down to standing;1945-1961 27 turning around;1960-1983 5 going from sitting to standing;1982-2008 27 turning head;2012-2072 1 extending hand;2090-2113 5 going from sitting to standing;2113-2160 0 walking;2145-2168 27 turning around
MPH11_00150_01,32-54 27 turning around;54-94 0 walkig;92-108 27 turning around;100-127 2 going from standing to sitting;135-169 29 crossing legs;175-195 31 reaching for something in pocket;195-360 30 using phone;361-410 5 going from sitting to standing;4155-520 0 walking;521-570 2 going from standing to sitting;456-580 10 reaching for something on table;580-731 30 holding phone;670-730 34 pressing button;731-776 11 putting something on table;823-890 5 going from sitting to standing;905-940 22 opening book;930-1042 22 reading book;1042-1065 23 closing book;1128-1223 32 opening cupboard door;1133-1278 33 closing cupboard door
